Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Cost,Payment_Method,Profit,Profit_Margin,Month,Month_Name,Year,Quarter
ORD111079,2024-01-01,CUST12002,Tablet,Electronics,East,6,23960.7,0.1,129387.78000000001,96743.52410973817,Credit Card,32644.255890261848,25.229782820496528,1,January,2024,Q1
ORD105759,2024-01-01,UNKNOWN,Monitor,Electronics,West,6,13090.46,0.1,70688.484,60149.97273527184,Credit Card,10538.511264728157,14.90838488590045,1,January,2024,Q1
ORD107005,2024-01-01,CUST10697,Mouse,Accessories,West,3,900.89,0.0,2702.67,1906.2166477984097,UPI,796.4533522015904,29.4691306079392,1,January,2024,Q1
ORD108282,2024-01-01,CUST12161,Monitor,Electronics,North,3,13145.56,0.15,33521.178,28841.160453808196,Credit Card,4680.017546191804,13.961375540536805,1,January,2024,Q1
ORD109283,2024-01-01,CUST11988,Tablet,Electronics,North,3,20000.26,0.15,51000.663,38767.545520267755,Net Banking,12233.117479732246,23.986193041710546,1,January,2024,Q1
ORD101487,2024-01-01,CUST10418,Laptop,Electronics,South,5,68243.91,0.05,200248.90875,214468.05599992888,UPI,38932.52874078014,19.44206786633994,1,January,2024,Q1
ORD102258,2024-01-01,CUST12466,Monitor,Electronics,North,6,10915.41,0.1,58943.214,48975.51603304238,Debit Card,9967.697966957618,16.91067943284806,1,January,2024,Q1
ORD106301,2024-01-01,CUST11744,Headphones,Electronics,South,1,2184.78,0.1,1966.3020000000001,1851.2624548345157,Credit Card,115.03954516548447,5.850553229640434,1,January,2024,Q1
ORD106905,2024-01-01,CUST11402,Tablet,Electronics,North,7,24138.41,0.05,160520.4265,121581.64018055309,Credit Card,38932.52874078014,24.253940504438003,1,January,2024,Q1
ORD102441,2024-01-01,CUST11237,Smartphone,Electronics,South,4,32577.21,0.15,110762.514,102429.03248824217,UPI,8333.481511757826,7.523738141008451,1,January,2024,Q1
